record_id,org_name,street,city,postcode,website,phone,industry,hardness
r0017,Ingleby Instruments Ltd,40 High Street,Cardiff,G28 3JB,www.inglebyinstruments.co.uk,+44 1735 874284,engineering,legal_form
r0018,PP Inc,156 Foundry Road,Glasgow,M59 8HH,www.pinnaclepackaging.co.uk,+44 1452 609045,logistics,acronym
r0019,"Motors, Jarrow & Co",91 Queens Park,Glasgow,G75 6HH,www.jarrowmotors.co.uk,+44 1806 523519,manufacturing,word_order
r0020,Elmhurst Manufacturing Incorporated,27 Mill Lane,Cardiff,E34 8DJ,www.elmhurstmanufactur.co.uk,+44 1817 736300,chemicals,branch
r0021,"Textiles, Rushmoor LLP",174 High Street,Sheffield,G28 7GD,www.rushmoortextiles.co.uk,+44 1704 798344,logistics,word_order
r0022,Ingleby Partners Inc,130 Station Road,Cardiff,E63 4HJ,www.inglebygroup.co.uk,+44 1265 606563,food-production,parent_sub
r0023,PM LLP,20 Kings Way,Glasgow,L8 7GE,www.pinnaclemotors.co.uk,+44 1967 604475,wholesale,acronym
r0024,Ingleby Logistics,77 Kings Way,Cardiff,,,,chemicals,missing
r0025,Pinnacle Instruments Corporation,160 Kings Way,Dundee,G32 7AF,www.pinnacleinstrument.co.uk,+44 1534 810889,manufacturing,legal_form
r0026,TF Ltd,132 Foundry Road,Bristol,S69 6FA,www.thorntonfoods.co.uk,+44 1638 157288,wholesale,acronym
r0027,Elmhurst Manufacturing,16 Queens Park,Dundee,,,,chemicals,missing
r0028,Blackwell Textiles Ltd,158 Victoria Road,Bristol,E40 4BJ,www.blackwelltextiles.co.uk,+44 1901 438441,chemicals,canonical
r0029,"Manufacturing, Quarrenden Ltd.",143 High Street,Cardiff,B4 4DE,www.quarrendenmanufact.co.uk,+44 1946 758168,chemicals,word_order
r0030,Cavendish Chemicals,159 Foundry Road,Plymouth,,,,chemicals,missing
r0031,Redgate Motors Ltd.,160 Queens Park,Glasgow,A43 2HE,www.redgatemotors.co.uk,+44 1815 791040,chemicals,legal_form
r0032,Kirkland Packaging & Co,102 Station Road,Norwich,G26 6DJ,www.kirklandpackaging.co.uk,+44 1665 397123,food-production,canonical
r0033,Rushmoor Manufacturing LLP,132 High Street,Dundee,D9 8HA,www.rushmoormanufactur.co.uk,+44 1463 452359,manufacturing,canonical
r0034,Mowbray Textiles LLP,57 Victoria Road,Norwich,A90 3DD,www.mowbraytextiles.co.uk,+44 1684 978144,engineering,legal_form
r0035,Oakhampton Instruments LLP,183 Queens Park,Leeds,L66 3HE,www.oakhamptoninstrume.co.uk,+44 1804 626739,food-production,branch
r0036,Colville Foods Ltd,32 Mill Lane,Sheffield,M2 6FF,www.colvillefoods.co.uk,+44 1657 215052,logistics,legal_form
r0037,Kirkland Solutions PLC,16 Station Road,Plymouth,N96 4HB,www.kirklandgroup.co.uk,+44 1571 742412,food-production,parent_sub
r0038,Hollingsworth Packaging PLC,114 Victoria Road,Cardiff,S27 8JJ,www.hollingsworthpacka.co.uk,+44 1427 961565,wholesale,legal_form
r0039,SF Inc,111 Queens Park,Dundee,G39 4DB,www.sterlingfoods.co.uk,+44 1100 545064,chemicals,acronym
r0040,Sterling Foods LLP,111 Queens Park,Dundee,G39 4DB,www.sterlingfoods.co.uk,+44 1929 645195,chemicals,legal_form
r0041,Quarrenden Logistics & Co,168 Station Road,Norwich,S46 7EE,www.quarrendenlogistic.co.uk,+44 1690 586566,wholesale,legal_form
r0042,Langmere Chem Ltd.,116 Canal Street,Dundee,B33 7BE,www.langmerechemicals.co.uk,+44 1171 538883,chemicals,abbrev
r0043,Stanbridge Logistics Limited,86 Queens Park,Sheffield,D96 2FB,www.stanbridgelogistic.co.uk,+44 1242 163075,chemicals,legal_form
r0044,Harrow Manufacturing Corp,168 Station Road,Dundee,L41 5EB,www.harrowmanufacturin.co.uk,+44 1304 833177,manufacturing,legal_form
r0045,Thornton Holdings Corp,47 Mill Lane,Norwich,N18 3JD,www.thornton.co.uk,+44 1869 425868,chemicals,common_token
r0046,Harrow Mfg Ltd,168 Station Road,Dundee,L41 5EB,www.harrowmanufacturin.co.uk,+44 1253 403961,manufacturing,abbrev
r0047,Penhale Logistics,197 High Street,Glasgow,,,,chemicals,missing
r0048,Garrick Services PLC,7 Queens Park,Cardiff,N21 6HG,www.garrick.co.uk,+44 1600 816696,engineering,common_token
r0049,Draycott Chem & Co,109 Station Road,Glasgow,G18 8AB,www.draycottchemicals.co.uk,+44 1248 475104,logistics,abbrev
r0050,"Foods, Ashcroft PLC",129 Kings Way,Dundee,G41 2FD,www.ashcroftfoods.co.uk,+44 1942 401415,chemicals,word_order
r0051,Kirkland Motors Ltd,114 Kings Way,Dundee,N46 8DB,www.kirklandmotors.co.uk,+44 1667 384037,manufacturing,abbrev
r0052,Quarrenden Solutions Ltd.,143 High Street,Cardiff,B4 4DE,www.quarrendengroup.co.uk,+44 1255 909093,chemicals,parent_sub
r0053,Stanbridge Plastics Inc,39 Kings Way,Sheffield,D25 7EA,www.stanbridgeplastics.co.uk,+44 1297 151781,logistics,legal_form
r0054,Colville Foods,25 Foundry Road,Swansea,,,,logistics,missing
r0055,Rushmoor Textiles LLP,26 Mill Lane,Norwich,G1 5EH,www.rushmoortextiles.co.uk,+44 1122 491506,manufacturing,legal_form
r0056,Rushmoor Instruments,175 Victoria Road,Swansea,,,,food-production,missing
r0057,Jarrow Group & Co,114 Mill Lane,Swansea,A59 6JH,www.jarrow.co.uk,+44 1575 774086,engineering,common_token
r0058,Nthn Plastics Inc,5 Victoria Road,Glasgow,L29 5EG,www.northernplastics.co.uk,+44 1542 930481,food-production,abbrev
r0059,EI Inc,1 Victoria Road,Leeds,L75 3JF,www.elmhurstinstrument.co.uk,+44 1748 924664,manufacturing,acronym
r0060,Acme Logistics Corp,52 Kings Way,Bristol,A8 3ED,www.acmelogistics.co.uk,+44 1944 810275,manufacturing,legal_form
r0061,Cavendish Partners Corporation,95 High Street,Bristol,G96 1FB,www.cavendishgroup.co.uk,+44 1225 683811,wholesale,parent_sub
r0062,Elmhurst Plastics Ltd.,41 Foundry Road,Leeds,B3 1FG,www.elmhurstplastics.co.uk,+44 1767 754988,food-production,legal_form
r0063,Langmere Chemicals & Co,30 Queens Park,Bristol,L19 8HG,www.langmerechemicals.co.uk,+44 1784 147483,logistics,legal_form
r0064,Draycott Chemicals & Co,48 Foundry Road,Cardiff,G47 7HD,www.draycottchemicals.co.uk,+44 1455 793823,engineering,canonical
r0065,Netherby Systems Corp,130 High Street,Plymouth,A31 4EG,www.netherbygroup.co.uk,+44 1330 209850,engineering,parent_sub
r0066,Quarrenden Engineering Limited,117 Foundry Road,Derby,D43 3GG,www.quarrendenengineer.co.uk,+44 1202 234370,logistics,canonical
r0067,"Instruments, Elmhurst Incorporated",57 Queens Park,Leeds,B31 2GJ,www.elmhurstinstrument.co.uk,+44 1291 763210,chemicals,word_order
r0068,Penhale Textiles,199 Mill Lane,Cardiff,,,,engineering,missing
r0069,"Manufacturing, Draycott Inc",18 High Street,Bristol,N8 7JE,www.draycottmanufactur.co.uk,+44 1354 911446,logistics,word_order
r0070,Draycott Manufacturing,18 High Street,Bristol,,,,logistics,missing
r0071,"Textiles, Ashcroft PLC",154 Canal Street,Derby,G17 8HH,www.ashcrofttextiles.co.uk,+44 1104 327057,wholesale,word_order
r0072,Mowbray Motors PLC,180 Victoria Road,Sheffield,M42 6EB,www.mowbraymotors.co.uk,+44 1603 980955,chemicals,branch
r0073,Cavendish Instruments Corporation,95 High Street,Bristol,G96 1FB,www.cavendishinstrumen.co.uk,+44 1501 114215,wholesale,canonical
r0074,Penhale Group PLC,40 Queens Park,Glasgow,G32 1FF,www.penhale.co.uk,+44 1331 401172,logistics,common_token
r0075,Jarrow Logistics Ltd.,11 High Street,Plymouth,M21 4DF,www.jarrowlogistics.co.uk,+44 1706 270702,food-production,branch
r0076,Oakhampton Foods PLC,159 Kings Way,Sheffield,N77 7HF,www.oakhamptonfoods.co.uk,+44 1809 352150,logistics,canonical
r0077,Cavendish Instruments & Co,124 Kings Way,Swansea,L64 8EJ,www.cavendishinstrumen.co.uk,+44 1795 766302,wholesale,legal_form
r0078,Draycott Chemicals,109 Station Road,Glasgow,,,,logistics,missing
r0079,Stanbridge Plastics Ltd.,39 Kings Way,Sheffield,D25 7EA,www.stanbridgeplastics.co.uk,+44 1290 594097,logistics,canonical
r0080,Draycott Services PLC,11 Station Road,Bristol,B90 3EH,www.draycott.co.uk,+44 1692 433982,chemicals,common_token
r0081,Jarrow Plastics LLP,179 High Street,Bristol,S72 6BG,www.jarrowplastics.co.uk,+44 1865 391071,manufacturing,canonical
r0082,Jarrow Chemicals,110 Canal Street,Swansea,,,,chemicals,missing
r0083,DE PLC,118 Kings Way,Glasgow,L74 7EA,www.draycottengineerin.co.uk,+44 1598 892723,wholesale,acronym
r0084,Kirkland Manufacturing Incorporated,84 Kings Way,Derby,S61 4BJ,www.kirklandmanufactur.co.uk,+44 1428 113706,food-production,legal_form
r0085,"Foods, Colville & Co",32 Mill Lane,Sheffield,M2 6FF,www.colvillefoods.co.uk,+44 1114 494174,logistics,word_order
r0086,Oakhampton Manufacturing LLP,50 Station Road,Derby,L15 5AF,www.oakhamptonmanufact.co.uk,+44 1557 769411,logistics,canonical
r0087,PE Ltd,18 Kings Way,Sheffield,S74 2GG,www.pinnacleengineerin.co.uk,+44 1392 391830,engineering,acronym
r0088,DI & Co,110 Victoria Road,Dundee,G53 8GF,www.draycottinstrument.co.uk,+44 1307 242880,manufacturing,acronym
r0089,"Logistics, Stanbridge PLC",86 Queens Park,Sheffield,D96 2FB,www.stanbridgelogistic.co.uk,+44 1894 294360,chemicals,word_order
r0090,Draycott Chemicals Corporation,163 Foundry Road,Plymouth,S79 7HH,www.draycottchemicals.co.uk,+44 1184 873551,engineering,legal_form
r0091,Langmere Instr PLC,23 High Street,Sheffield,L18 7BF,www.langmereinstrument.co.uk,+44 1865 561475,wholesale,abbrev
r0092,Kirkland Services Ltd.,171 Mill Lane,Norwich,G79 5BF,www.kirkland.co.uk,+44 1701 578167,food-production,common_token
r0093,Hollingsworth Instruments Limited,57 Victoria Road,Dundee,M25 6AF,www.hollingsworthinstr.co.uk,+44 1317 282548,manufacturing,legal_form
r0094,Rushmoor Manufacturing Ltd,132 High Street,Dundee,D9 8HA,www.rushmoormanufactur.co.uk,+44 1761 700521,manufacturing,legal_form
r0095,Oakhampton Textiles Incorporated,30 Canal Street,Norwich,N35 2FA,www.oakhamptontextiles.co.uk,+44 1834 107141,wholesale,canonical
r0096,"Textiles, Northern Corp",54 Kings Way,Norwich,L45 2DH,www.northerntextiles.co.uk,+44 1106 484108,engineering,word_order
r0097,Cavendish Chemicals Incorporated,159 Foundry Road,Plymouth,M26 5DD,www.cavendishchemicals.co.uk,+44 1979 974802,chemicals,legal_form
r0098,"Motors, Hollingsworth PLC",199 Station Road,Leeds,S2 4EA,www.hollingsworthmotor.co.uk,+44 1401 264927,manufacturing,word_order
r0099,Penhale Manufacturing Incorporated,75 Kings Way,Norwich,A27 1JJ,www.penhalemanufacturi.co.uk,+44 1738 839981,food-production,legal_form
r0100,Ashcroft Textiles Inc,154 Canal Street,Derby,G17 8HH,www.ashcrofttextiles.co.uk,+44 1695 797965,wholesale,legal_form
r0101,Netherby Engineering PLC,26 Kings Way,Glasgow,A6 3JG,www.netherbyengineerin.co.uk,+44 1934 126841,manufacturing,branch
r0102,Cavendish Pkg & Co,161 High Street,Dundee,L50 7DF,www.cavendishpackaging.co.uk,+44 1529 923796,food-production,abbrev
r0103,Elmhurst Instruments,57 Queens Park,Leeds,,,,chemicals,missing
r0104,Hollingsworth Packaging Ltd,114 Victoria Road,Cardiff,S27 8JJ,www.hollingsworthpacka.co.uk,+44 1433 273252,wholesale,canonical
r0105,Draycott Systems Inc,18 High Street,Bristol,N8 7JE,www.draycottgroup.co.uk,+44 1398 413770,logistics,parent_sub
r0106,"Motors, Ashcroft Limited",192 Kings Way,Glasgow,M33 6AD,www.ashcroftmotors.co.uk,+44 1977 207047,logistics,word_order
r0107,Acme Engineering Corporation,119 Victoria Road,Bristol,L48 8EJ,www.acmeengineering.co.uk,+44 1110 455817,food-production,branch
r0108,Cavendish Plastics LLP,158 Foundry Road,Cardiff,G45 8DA,www.cavendishplastics.co.uk,+44 1177 914576,engineering,canonical
r0109,Langmere Chemicals Ltd.,116 Canal Street,Dundee,B33 7BE,www.langmerechemicals.co.uk,+44 1704 591568,chemicals,canonical
r0110,Acme Foods,139 Victoria Road,Leeds,,,,manufacturing,missing
r0111,Harrow Instruments Ltd.,61 Queens Park,Plymouth,G51 8AD,www.harrowinstruments.co.uk,+44 1464 530173,logistics,legal_form
r0112,Kirkland Manufacturing Ltd,11 Queens Park,Norwich,L61 7FA,www.kirklandmanufactur.co.uk,+44 1791 621556,manufacturing,canonical
r0113,Cavendish Packaging,162 Mill Lane,Leeds,,,,wholesale,missing
r0114,GL Corporation,92 Kings Way,Leeds,S96 5HJ,www.garricklogistics.co.uk,+44 1244 142548,manufacturing,acronym
r0115,Stanbridge Group Ltd.,154 Victoria Road,Bristol,B31 6EH,www.stanbridge.co.uk,+44 1106 933981,engineering,common_token
r0116,Langmere Systems PLC,23 High Street,Sheffield,L18 7BF,www.langmeregroup.co.uk,+44 1337 102994,wholesale,parent_sub
r0117,Oakhampton Instruments Ltd,43 Queens Park,Bristol,M11 3JJ,www.oakhamptoninstrume.co.uk,+44 1855 625404,food-production,legal_form
r0118,Ingleby Textiles PLC,97 Station Road,Glasgow,D44 6DD,www.inglebytextiles.co.uk,+44 1979 894779,wholesale,canonical
r0119,"Packaging, Cavendish & Co",162 Mill Lane,Leeds,L9 2FG,www.cavendishpackaging.co.uk,+44 1907 297471,wholesale,word_order
r0120,Elmhurst Solutions LLP,1 Victoria Road,Leeds,L75 3JF,www.elmhurstgroup.co.uk,+44 1585 845501,manufacturing,parent_sub
r0121,Baxter Logistics Ltd,187 Foundry Road,Bristol,G27 4BJ,www.baxterlogistics.co.uk,+44 1855 695892,wholesale,canonical
r0122,HC Inc,77 Station Road,Plymouth,N65 5DJ,www.hollingsworthchemi.co.uk,+44 1107 596547,engineering,acronym
r0123,Mowbray Logistics,140 Mill Lane,Plymouth,,,,chemicals,missing
r0124,Quarrenden Manufacturing Ltd.,143 High Street,Cardiff,B4 4DE,www.quarrendenmanufact.co.uk,+44 1285 808700,chemicals,canonical
r0125,Colville Foods,32 Mill Lane,Sheffield,,,,logistics,missing
r0126,Draycott Engineering,118 Kings Way,Glasgow,,,,wholesale,missing
r0127,Draycott Systems & Co,109 Station Road,Glasgow,G18 8AB,www.draycottgroup.co.uk,+44 1566 254896,logistics,parent_sub
r0128,Elmhurst Motors Ltd,166 Station Road,Swansea,M59 1EF,www.elmhurstmotors.co.uk,+44 1231 661661,engineering,abbrev
r0129,Redgate Instruments Incorporated,120 High Street,Leeds,L2 4AJ,www.redgateinstruments.co.uk,+44 1220 942456,food-production,canonical
r0130,Draycott Manufacturing Inc,102 Mill Lane,Norwich,N73 8GF,www.draycottmanufactur.co.uk,+44 1155 747341,manufacturing,legal_form
r0131,Langmere Instruments,124 Station Road,Swansea,,,,chemicals,missing
r0132,Mowbray Partners Limited,57 Victoria Road,Norwich,A90 3DD,www.mowbraygroup.co.uk,+44 1437 404920,engineering,parent_sub
r0133,PE Ltd,65 Victoria Road,Cardiff,B43 6DA,www.penhaleengineering.co.uk,+44 1412 613525,food-production,acronym
r0134,Elmhurst Instruments Incorporated,57 Queens Park,Leeds,B31 2GJ,www.elmhurstinstrument.co.uk,+44 1226 154213,chemicals,canonical
r0135,Pinnacle Partners LLP,18 Kings Way,Sheffield,S74 2GG,www.pinnaclegroup.co.uk,+44 1246 288479,engineering,parent_sub
r0136,Kirkland Packaging,102 Station Road,Norwich,,,,food-production,missing
r0137,Langmere Engineering Corp,173 Queens Park,Dundee,N36 4FD,www.langmereengineerin.co.uk,+44 1211 502768,food-production,canonical
r0138,"Packaging, Cavendish & Co",161 High Street,Dundee,L50 7DF,www.cavendishpackaging.co.uk,+44 1243 554211,food-production,word_order
r0139,"Instruments, Pinnacle Incorporated",160 Kings Way,Dundee,G32 7AF,www.pinnacleinstrument.co.uk,+44 1901 476126,manufacturing,word_order
r0140,Jarrow Instruments,92 Canal Street,Leeds,,,,food-production,missing
r0141,Penhale Chemicals PLC,125 High Street,Dundee,E70 3AA,www.penhalechemicals.co.uk,+44 1606 322292,wholesale,canonical
r0142,Harrow Instruments Limited,61 Queens Park,Plymouth,G51 8AD,www.harrowinstruments.co.uk,+44 1916 804747,logistics,canonical
r0143,Elmhurst Instruments PLC,1 Victoria Road,Leeds,L75 3JF,www.elmhurstinstrument.co.uk,+44 1469 548314,manufacturing,legal_form
r0144,Mowbray Mfg & Co,69 High Street,Sheffield,A94 5AE,www.mowbraymanufacturi.co.uk,+44 1565 592669,logistics,abbrev
r0145,"Plastics, Quarrenden Corp",84 Queens Park,Swansea,N96 3HF,www.quarrendenplastics.co.uk,+44 1987 651633,engineering,word_order
r0146,Harrow Pkg & Co,147 Kings Way,Dundee,L7 2JH,www.harrowpackaging.co.uk,+44 1766 726960,chemicals,abbrev
r0147,Cavendish Instr Inc,124 Kings Way,Swansea,L64 8EJ,www.cavendishinstrumen.co.uk,+44 1683 652042,wholesale,abbrev
r0148,Jarrow Textiles Limited,61 Mill Lane,Glasgow,G42 1ED,www.jarrowtextiles.co.uk,+44 1734 651462,manufacturing,branch
r0149,Redgate Instr Inc,120 High Street,Leeds,L2 4AJ,www.redgateinstruments.co.uk,+44 1784 838549,food-production,abbrev
r0150,Pinnacle Motors Ltd.,20 Victoria Road,Norwich,A90 3GA,www.pinnaclemotors.co.uk,+44 1189 152583,engineering,branch
r0151,Elmhurst Textiles Inc,158 Canal Street,Bristol,D26 7DF,www.elmhursttextiles.co.uk,+44 1729 593654,manufacturing,legal_form
r0152,Oakhampton Logistics Ltd,116 Victoria Road,Plymouth,S8 8GE,www.oakhamptonlogistic.co.uk,+44 1324 637966,logistics,canonical
r0153,Penhale Systems Corp,38 High Street,Derby,S23 3GF,www.penhale.co.uk,+44 1552 959230,food-production,common_token
r0154,Draycott Systems & Co,48 Foundry Road,Cardiff,G47 7HD,www.draycottgroup.co.uk,+44 1881 962714,engineering,parent_sub
r0155,Ashcroft Foods Incorporated,155 Mill Lane,Plymouth,D20 2EF,www.ashcroftfoods.co.uk,+44 1463 958408,wholesale,canonical
r0156,Quarrenden Textiles Incorporated,120 Station Road,Cardiff,S1 7DF,www.quarrendentextiles.co.uk,+44 1618 507167,logistics,canonical
r0157,Harrow Engineering & Co,51 Mill Lane,Norwich,G40 6BH,www.harrowengineering.co.uk,+44 1675 888634,food-production,canonical
r0158,"Motors, Oakhampton LLP",64 Kings Way,Plymouth,B64 4FH,www.oakhamptonmotors.co.uk,+44 1875 283257,engineering,word_order
r0159,Sterling Partners Ltd.,150 Queens Park,Cardiff,S16 5EH,www.sterlinggroup.co.uk,+44 1620 253251,chemicals,parent_sub
r0160,Ingleby Chemicals LLP,144 Station Road,Plymouth,E26 5GH,www.inglebychemicals.co.uk,+44 1605 841913,chemicals,canonical
r0161,Thornton Group LLP,113 Queens Park,Cardiff,E69 6BF,www.thorntongroup.co.uk,+44 1225 437974,chemicals,parent_sub
r0162,Mowbray Motors PLC,121 Station Road,Bristol,G11 8FE,www.mowbraymotors.co.uk,+44 1168 185531,chemicals,canonical
r0163,Penhale Textiles Ltd.,199 Mill Lane,Cardiff,B23 5GH,www.penhaletextiles.co.uk,+44 1446 298210,engineering,canonical
r0164,Baxter Logistics,187 Foundry Road,Bristol,,,,wholesale,missing
r0165,"Manufacturing, Penhale Limited",137 Mill Lane,Leeds,D98 1DJ,www.penhalemanufacturi.co.uk,+44 1329 290386,manufacturing,word_order
r0166,"Packaging, Sterling Ltd.",150 Queens Park,Cardiff,S16 5EH,www.sterlingpackaging.co.uk,+44 1899 529150,chemicals,word_order
r0167,Stanbridge Services Ltd.,184 Station Road,Glasgow,N40 5FH,www.stanbridgegroup.co.uk,+44 1864 568371,food-production,parent_sub
r0168,"Instruments, Langmere PLC",23 High Street,Sheffield,L18 7BF,www.langmereinstrument.co.uk,+44 1824 367245,wholesale,word_order
r0169,Hollingsworth Textiles Ltd,6 Foundry Road,Cardiff,M50 4GJ,www.hollingsworthtexti.co.uk,+44 1301 585720,chemicals,canonical
r0170,Penhale Manufacturing Limited,137 Mill Lane,Leeds,D98 1DJ,www.penhalemanufacturi.co.uk,+44 1250 191909,manufacturing,canonical
r0171,Elmhurst Manufacturing Ltd.,16 Queens Park,Dundee,S6 6DA,www.elmhurstmanufactur.co.uk,+44 1249 411159,chemicals,legal_form
r0172,Stanbridge Manufacturing Inc,153 High Street,Plymouth,L91 5DG,www.stanbridgemanufact.co.uk,+44 1535 483296,food-production,legal_form
r0173,Blackwell Textiles,36 Foundry Road,Plymouth,,,,wholesale,missing
r0174,Pinnacle Chemicals Corp,194 High Street,Norwich,M70 3BB,www.pinnaclechemicals.co.uk,+44 1341 209831,engineering,legal_form
r0175,JT Limited,153 Victoria Road,Norwich,N36 5FF,www.jarrowtextiles.co.uk,+44 1259 130955,manufacturing,acronym
r0176,Acme Chem Ltd,22 Foundry Road,Plymouth,L94 5JD,www.acmechemicals.co.uk,+44 1850 534357,chemicals,abbrev
r0177,Baxter Logistics Ltd,15 Canal Street,Norwich,M62 2FE,www.baxterlogistics.co.uk,+44 1965 684445,wholesale,branch
r0178,NM Ltd.,197 Foundry Road,Derby,S1 2DG,www.netherbymotors.co.uk,+44 1880 262864,chemicals,acronym
r0179,Sterling Instruments Incorporated,96 Mill Lane,Glasgow,M85 2HE,www.sterlinginstrument.co.uk,+44 1430 823875,chemicals,legal_form
r0180,Pinnacle Engineering & Co,195 Foundry Road,Dundee,L63 5JF,www.pinnacleengineerin.co.uk,+44 1921 495358,food-production,canonical
r0181,Ingleby Solutions LLP,144 Station Road,Plymouth,E26 5GH,www.inglebygroup.co.uk,+44 1603 601360,chemicals,parent_sub
r0182,"Manufacturing, Quarrenden Incorporated",17 High Street,Norwich,D40 1BD,www.quarrendenmanufact.co.uk,+44 1274 161492,manufacturing,word_order
r0183,Acme Group Inc,84 Foundry Road,Bristol,N8 8DH,www.acme.co.uk,+44 1261 820204,chemicals,common_token
r0184,Langmere Manufacturing Incorporated,185 Mill Lane,Cardiff,D21 5FE,www.langmeremanufactur.co.uk,+44 1756 947829,manufacturing,legal_form
r0185,Pinnacle Chemicals PLC,194 High Street,Norwich,M70 3BB,www.pinnaclechemicals.co.uk,+44 1223 219144,engineering,canonical
r0186,BT Ltd.,36 Foundry Road,Plymouth,G35 6GF,www.blackwelltextiles.co.uk,+44 1710 551456,wholesale,acronym
r0187,Blackwell Systems & Co,155 Victoria Road,Dundee,A64 2GD,www.blackwellgroup.co.uk,+44 1780 567988,engineering,parent_sub
r0188,Ashcroft Engineering Incorporated,122 Victoria Road,Plymouth,N9 6DJ,www.ashcroftengineerin.co.uk,+44 1696 903154,engineering,branch
r0189,Langmere Instruments Corp,63 Canal Street,Plymouth,A90 2EJ,www.langmereinstrument.co.uk,+44 1639 102226,chemicals,branch
r0190,Hollingsworth Textiles Corp,16 Foundry Road,Sheffield,M91 4AA,www.hollingsworthtexti.co.uk,+44 1655 933440,chemicals,legal_form
r0191,Harrow Partners PLC,131 Victoria Road,Sheffield,N16 7AB,www.harrow.co.uk,+44 1817 402489,manufacturing,common_token
r0192,Oakhampton Solutions Limited,116 Station Road,Bristol,E70 6GE,www.oakhampton.co.uk,+44 1994 427906,engineering,common_token
r0193,Draycott Group Inc,110 Victoria Road,Dundee,G53 8GF,www.draycottgroup.co.uk,+44 1173 904562,manufacturing,parent_sub
r0194,Ashcroft Plastics,133 Canal Street,Glasgow,,,,food-production,missing
r0195,Thornton Packaging LLP,113 Queens Park,Cardiff,E69 6BF,www.thorntonpackaging.co.uk,+44 1679 293134,chemicals,canonical
r0196,"Textiles, Blackwell Ltd",158 Victoria Road,Bristol,E40 4BJ,www.blackwelltextiles.co.uk,+44 1750 502489,chemicals,word_order
r0197,Draycott Instruments Inc,19 Station Road,Cardiff,B23 2JB,www.draycottinstrument.co.uk,+44 1572 849472,manufacturing,branch
r0198,Netherby Motors PLC,197 Foundry Road,Derby,S1 2DG,www.netherbymotors.co.uk,+44 1569 637217,chemicals,canonical
r0199,Oakhampton Motors LLP,64 Kings Way,Plymouth,B64 4FH,www.oakhamptonmotors.co.uk,+44 1203 813746,engineering,canonical
r0200,Sterling Partners LLP,14 High Street,Glasgow,D28 5FA,www.sterling.co.uk,+44 1700 908055,manufacturing,common_token
r0201,Pinnacle Engineering LLP,18 Kings Way,Sheffield,S74 2GG,www.pinnacleengineerin.co.uk,+44 1271 506066,engineering,canonical
r0202,Penhale Services Limited,137 Mill Lane,Leeds,D98 1DJ,www.penhalegroup.co.uk,+44 1250 661340,manufacturing,parent_sub
r0203,Acme Foods Corp,139 Victoria Road,Leeds,D41 1EH,www.acmefoods.co.uk,+44 1689 285532,manufacturing,legal_form
r0204,Quarrenden Systems Incorporated,17 High Street,Norwich,D40 1BD,www.quarrendengroup.co.uk,+44 1952 595838,manufacturing,parent_sub
r0205,Thornton Packaging Ltd,46 Foundry Road,Derby,D48 8GF,www.thorntonpackaging.co.uk,+44 1177 564421,engineering,legal_form
